Filename,Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y
2.webp,Quiet Zone Violations,1795,1613,2006,1674
2.webp,Font Size,1834,1584,2271,1619
2.webp,Font Size,2148,1655,2310,1684
2.webp,Low Contrast,1899,1655,1983,1670
3.webp,Quiet Zone Violations,818,613,1756,692
3.webp,Improper Reading Position,797,619,816,699
4.webp,Font Size,312,939,1769,1388
10.webp,Font Size,956,1437,1333,1567
10.webp,Font Style,93,17,473,90
10.webp,Font Size,28,1662,628,2092
10.webp,Quiet Zone Violations,1368,112,2441,170
10.webp,Low Contrast,1383,65,2448,112
10.webp,Font Size,3393,1650,3791,1727
11.webp,Font Size,66,1870,378,1920
11.webp,Font Size,3588,30,3823,130
11.webp,Font Size,3506,702,3793,775
20.webp,Font Size,32,1891,1625,2069
20.webp,Font Size,47,2109,1640,2214
21.webp,Font Style,710,789,992,996
21.webp,Font Size,387,1616,710,1756
21.webp,Font Size,722,1614,1015,1766
21.webp,Font Size,1007,1604,1355,1756
25.webp,Font Size,215,1534,615,1586
25.webp,Font Size,1117,1544,1462,1601
26.webp,Font Size,135,1510,1007,1576
28.webp,Quiet Zone Violations,51,1520,533,1565
29.webp,Font Size,1,327,898,455
33.webp,Font Size,241,522,519,536
33.webp,Font Style,155,411,347,498
35.webp,Font Size,118,499,405,539
35.webp,Font Size,141,613,396,686
35.webp,Font Size,146,683,239,714
35.webp,Font Size,334,693,413,734
35.webp,Font Size,195,862,549,1068
36.webp,Font Size,13,213,483,236
36.webp,Font Size,431,167,703,188
36.webp,Font Size,6,258,100,318
36.webp,Font Size,628,298,675,321
36.webp,Font Size,587,365,691,406
36.webp,Font Size,585,539,705,609
38.webp,Font Size,20,341,1135,384
38.webp,Font Size,980,236,1647,291
38.webp,Font Size,15,514,1042,731
38.webp,Font Size,1,766,432,814
38.webp,Font Size,345,999,1037,1116
38.webp,Font Size,337,1176,630,1214
38.webp,Font Size,325,1471,617,1619
38.webp,Font Size,317,1659,627,1766
38.webp,Font Size,317,1839,620,1949
38.webp,Font Size,315,2031,622,2141
38.webp,Font Size,325,2214,732,2339
38.webp,Font Size,1365,674,1587,801
38.webp,Font Size,1397,1094,1617,1241
38.webp,Font Size,7,384,195,421
38.webp,Font Size,1210,401,1355,491
38.webp,Font Size,692,1239,1060,1389
39.webp,Font Size,865,1079,1572,1334
39.webp,Font Size,900,1021,1090,1051
39.webp,Font Style,885,2171,1567,2251
39.webp,Font Size,865,2246,1482,2311
41.webp,Font Size,246,969,889,1056
41.webp,Font Size,246,1366,905,1679
43.webp,Font Size,17,474,1545,1266
43.webp,Font Size,440,1891,1382,2004
43.webp,Font Size,62,2009,1627,2291
44.webp,Font Size,25,256,1655,2094
45.webp,Font Style,33,289,479,405
46.webp,Improper Reading Position,381,1270,583,1462
63.webp,Font Size,40,1084,728,1217
67.webp,Quiet Zone Violations,395,552,678,696
67.webp,Quiet Zone Violations,21,1118,318,1206
71.webp,Low Contrast,630,1746,1015,1815
79.webp,Font Size,328,120,486,225
91.webp,Font Size,10,400,884,507
100.webp,Font Style,286,132,773,217
100.webp,Quiet Zone Violations,401,410,688,475
100.webp,Damage or Distortion,928,1062,1080,1118
